SalesAmount,TotalProductCost,ProductStandardCost,UnitPriceDiscountPct,ExtendedAmount,UnitPrice,OrderQuantity,SalesTerritoryId,OrderDate,ProductId,SalesOrderLineId,Channel,SalesOrder,CustomerId,ResellerId
2024.99,1898.09,1898.09,0,2024.99,2024.99,1,5,2017-07-02,349,43659001,xvcxv,,-1,676
6074.98,5694.28,1898.09,0,6074.98,2024.99,3,5,2017-07-02,350,43659002,,,-1,676
2024.99,1898.09,1898.09,0,2024.99,2024.99,1,5,2017-07-02,351,43659003,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,2017-07-02,344,43659004,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,2017-07-02,345,43659005,,,-1,676
4079.99,3824.31,1912.15,0,4079.99,2039.99,2,5,2017-07-02,346,43659006,,,-1,676
2039.99,1912.15,1912.15,0,2039.99,2039.99,1,5,2017-07-02,347,43659007,,,-1,676
86.52,95.17,31.72,0,86.52,28.84,3,5,2017-07-02,229,43659008,,,-1,676
28.84,31.72,31.72,0,28.84,28.84,1,5,2017-07-02,235,43659009,,,-1,676
34.2,20.38,3.4,0,34.2,5.7,6,5,2017-07-02,218,43659010,,,-1,676
10.37,11.41,5.71,0,10.37,5.19,2,5,2017-07-02,223,43659011,,,-1,676
80.75,48.11,12.03,0,80.75,20.19,4,5,2017-07-02,220,43659012,,,-1,676
419.46,413.15,413.15,0,419.46,419.46,1,5,2017-07-05,326,43660001,,,-1,117
874.79,884.71,884.71,0,874.79,874.79,1,5,2017-07-05,319,43660002,,,-1,117
809.76,699.09,699.09,0,809.76,809.76,1,6,2017-07-05,300,43661001,,,-1,442
714.7,617.03,617.03,0,714.7,714.7,1,6,2017-07-05,296,43661002,,,-1,442
1429.41,1234.06,617.03,0,1429.41,714.7,2,6,2017-07-05,304,43661003,,,-1,442
20.75,22.82,5.71,0,20.75,5.19,4,6,2017-07-05,223,43661004,,,-1,442
115.36,126.9,31.72,0,115.36,28.84,4,6,2017-07-05,232,43661005,,,-1,442
1445.19,1247.68,623.84,0,1445.19,722.59,2,6,2017-07-05,293,43661006,,,-1,442
6074.98,5694.28,1898.09,0,6074.98,2024.99,3,6,2017-07-05,348,43661007,,,-1,442
4049.99,3796.19,1898.09,0,4049.99,2024.99,2,6,2017-07-05,351,43661008,,,-1,442
40.37,24.06,12.03,0,40.37,20.19,2,6,2017-07-05,220,43661009,,,-1,442
1637.4,1413.62,706.81,0,1637.4,818.7,2,6,2017-07-05,292,43661010,,,-1,442
8099.98,7592.38,1898.09,0,8099.98,2024.99,4,6,2017-07-05,349,43661011,,,-1,442
4079.99,3824.31,1912.15,0,4079.99,2039.99,2,6,2017-07-05,346,43661012,,,-1,442
57.68,63.45,31.72,0,57.68,28.84,2,6,2017-07-05,235,43661013,,,-1,442
4049.99,3796.19,1898.09,0,4049.99,2024.99,2,6,2017-07-05,350,43661014,,,-1,442
100.93,60.14,12.03,0,100.93,20.19,5,6,2017-07-05,215,43661015,,,-1,442
1258.38,1239.44,413.15,0,1258.38,419.46,3,6,2017-07-07,330,43662001,,,-1,227
2097.29,2065.73,413.15,0,2097.29,419.46,5,6,2017-07-07,342,43662002,,,-1,227
367.88,362.97,181.49,0,367.88,183.94,2,6,2017-07-07,272,43662003,,,-1,227
3499.18,3538.83,884.71,0,3499.18,874.79,4,6,2017-07-07,315,43662004,,,-1,227
551.81,544.46,181.49,0,551.81,183.94,3,6,2017-07-07,262,43662005,,,-1,227
2097.29,2065.73,413.15,0,2097.29,419.46,5,6,2017-07-07,326,43662006,,,-1,227
1258.38,1239.44,413.15,0,1258.38,419.46,3,6,2017-07-07,332,43662007,,,-1,227
838.92,826.29,413.15,0,838.92,419.46,2,6,2017-07-07,338,43662008,,,-1,227
2146.96,2171.29,2171.29,0,2146.96,2146.96,1,6,2017-07-07,314,43662009,,,-1,227
874.79,884.71,884.71,0,874.79,874.79,1,6,2017-07-07,317,43662010,,,-1,227
